id,name,type,parentId,areaCode
654300,阿勒泰地区,3,650000,0906
659000,自治区直辖县级行政区划,3,650000,0991

650205,乌尔禾区,4,650200,0990
650402,高昌区,4,650400,0995
650421,鄯善县,4,650400,0995
650422,托克逊县,4,650400,0995
650502,伊州区,4,650500,0902
650521,巴里坤哈萨克自治县,4,650500,0902
650522,伊吾县,4,650500,0902
652301,昌吉市,4,652300,0994
652302,阜康市,4,652300,0994
652323,呼图壁县,4,652300,0994
652324,玛纳斯县,4,652300,0994
652325,奇台县,4,652300,0994
652327,吉木萨尔县,4,652300,0994
652328,木垒哈萨克自治县,4,652300,0994
652701,博乐市,4,652700,0909
652702,阿拉山口市,4,652700,0909
652722,精河县,4,652700,0909
652723,温泉县,4,652700,0909
652801,库尔勒市,4,652800,0996
652822,轮台县,4,652800,0996
652823,尉犁县,4,652800,0996
652824,若羌县,4,652800,0996
652825,且末县,4,652800,0996
652826,焉耆回族自治县,4,652800,0996
652827,和静县,4,652800,0996
652828,和硕县,4,652800,0996
652829,博湖县,4,652800,0996
652871,库尔勒经济技术开发区,4,652800,0996
652901,阿克苏市,4,652900,0997
652902,库车市,4,652900,0997
652922,温宿县,4,652900,0997
652924,沙雅县,4,652900,0997
652925,新和县,4,652900,0997
652926,拜城县,4,652900,0997
652927,乌什县,4,652900,0997
652928,阿瓦提县,4,652900,0997
652929,柯坪县,4,652900,0997
653001,阿图什市,4,653000,0908
653022,阿克陶县,4,653000,0908
653023,阿合奇县,4,653000,0908
653024,乌恰县,4,653000,0908
653101,喀什市,4,653100,0998
653121,疏附县,4,653100,0998
653122,疏勒县,4,653100,0998
653123,英吉沙县,4,653100,0998
653124,泽普县,4,653100,0998
653125,莎车县,4,653100,0998
653126,叶城县,4,653100,0998
653127,麦盖提县,4,653100,0998
653128,岳普湖县,4,653100,0998
653129,伽师县,4,653100,0998
653130,巴楚县,4,653100,0998
653131,塔什库尔干塔吉克自治县,4,653100,0998
653201,和田市,4,653200,0903
653221,和田县,4,653200,0903
653222,墨玉县,4,653200,0903
653223,皮山县,4,653200,0903
653224,洛浦县,4,653200,0903
653225,策勒县,4,653200,0903
653226,于田县,4,653200,0903
653227,民丰县,4,653200,0903
654002,伊宁市,4,654000,0999
654003,奎屯市,4,654000,0999
654004,霍尔果斯市,4,654000,0999
654021,伊宁县,4,654000,0999
654022,察布查尔锡伯自治县,4,654000,0999
654023,霍城县,4,654000,0999
654024,巩留县,4,654000,0999
654025,新源县,4,654000,0999
654026,昭苏县,4,654000,0999
654027,特克斯县,4,654000,0999
654028,尼勒克县,4,654000,0999
654201,塔城市,4,654200,0901
654202,乌苏市,4,654200,0901
654203,沙湾市,4,654200,0901
654221,额敏县,4,654200,0901
654224,托里县,4,654200,0901
654225,裕民县,4,654200,0901
654226,和布克赛尔蒙古自治县,4,654200,0901
654301,阿勒泰市,4,654300,0906
654321,布尔津县,4,654300,0906
654322,富蕴县,4,654300,0906
654323,福海县,4,654300,0906
654324,哈巴河县,4,654300,0906
654325,青河县,4,654300,0906
654326,吉木乃县,4,654300,0906
659001,石河子市,4,659000,0991
659002,阿拉尔市,4,659000,0991
659003,图木舒克市,4,659000,0991
659004,五家渠市,4,659000,0991
659005,北屯市,4,659000,0991
659006,铁门关市,4,659000,0991
659007,双河市,4,659000,0991
659008,可克达拉市,4,659000,0991
659009,昆玉市,4,659000,0991
659010,胡杨河市,4,659000,0991
659011,新星市,4,659000,0991
810000,香港特别行政区,2,1,1852
820000,澳门特别行政区,2,1,1853
710000,台湾省,2,1,1886
810100,香港特别行政区,3,810000,1852
820100,澳门特别行政区,3,820000,1853
710100,台北市,3,710000,-
710200,高雄市,3,710000,-
710300,基隆市,3,710000,-
710400,台中市,3,710000,-
710500,台南市,3,710000,-
710600,新竹市,3,710000,-
710700,嘉义市,3,710000,-
710800,新北市,3,710000,-
710900,宜兰县,3,710000,-
711000,桃园市,3,710000,-
711100,新竹县,3,710000,-
711200,苗栗县,3,710000,-
711300,彰化县,3,710000,-
711400,南投县,3,710000,-
711500,云林县,3,710000,-
711600,嘉义县,3,710000,-
711700,屏东县,3,710000,-
711800,澎湖县,3,710000,-
711900,花莲县,3,710000,-
712000,台东县,3,710000,-
712100,金门县,3,710000,-
712200,连江县,3,710000,-
710101,台北市,4,710100,1886
710201,高雄市,4,710200,1886
710301,基隆市,4,710300,1886
